deployer,total_tokens,rugged,honeypots,successful,avg_lifespan_hours,success_rate,rug_rate,score,first_seen_block,last_seen_block
0x301dbffe5b70345ad08fad00ac11807e5b1d96d2,1,0,0,0,0.0,0.0,0.0,0.0,86925897,86925897
0x30d8c8278527a1d8e6e48962c0719ccabb1148da,1,0,0,1,0.0,1.0,0.0,42.0,87142074,87142074
0x31e6049d93f7d634df47e5eab128852d12ffa10a,1,0,0,0,0.0,0.0,0.0,3.4112,87881384,87881384
0x3269f3cccc877e6f1f9ca671e5a735345dee4940,10,0,0,2,0.0,0.2,0.0,22.5973,87084397,89227424
0x3299528e9db2b1f3d7df9432f659347d75295abc,1,0,0,0,0.0,0.0,0.0,0.0,86853107,86853107
0x3338ac5ce491d0eb015c4520baf21e42fe22027c,19,1,0,0,0.0,0.0,0.052632,5.982,86754191,89243789
0x33599803203d787c331a531ad85258166e96cd27,1,0,0,0,0.0,0.0,0.0,0.0,87684008,87684008
0x33c75e8d8249d49ec6f7eff22cdf8c518e2a4cc9,2,1,0,1,0.0,0.5,0.5,-15.9951,87428096,88611619
0x347ffc6db9acc54ac2019795173b9599e8b82bd9,1,0,0,0,0.0,0.0,0.0,0.0,87127783,87127783
0x34bc6469220d4886469a2dd7a2193057d5a0fba6,5,0,0,0,0.0,0.0,0.0,8.0,87418040,87506638
0x34c0ef8330c76328fd9d9500d364792904c0d1c6,5,0,0,1,0.0,0.2,0.0,35.0768,86907061,88095102
0x34e7c6394ea4972ee516c3472af9ee74ffc46a55,1,0,0,0,0.0,0.0,0.0,0.0,87049669,87049669
0x35622dc32575757fa0e57cf160fb61bff487e49e,1,0,0,0,0.0,0.0,0.0,0.0,88661193,88661193
0x35b7b4bce55286758c3c9adf67aff8cb4341b305,1,0,0,1,0.0,1.0,0.0,95.0,87262284,87262284
0x35d3ce0fce89535352e9093832f6bf203b8e41e9,4,0,0,1,0.0,0.25,0.0,16.265,86881248,87883473
0x36551dd0fc070eb264b58591d9f56e366d1b98a2,1,0,0,0,0.0,0.0,0.0,0.0,88172388,88172388
0x36c7ac1faf725c597430cf6f1385eee6cc8df4da,1,0,0,1,0.0,1.0,0.0,79.9924,87421511,87421511
0x382556b6c904ab284a769d9c1ca79c32590e5a33,1,0,0,0,0.0,0.0,0.0,0.0,87697227,87697227
0x3827bb38dd1c74c69e94272cb9e16b14938661d4,2,0,0,0,0.0,0.0,0.0,2.3641,87640724,88254125
0x38d0a7bc7e50632abe2df38e061680455fb89266,1,0,0,0,0.0,0.0,0.0,0.0,88839355,88839355
0x38f0e0bba942f73b972a63f7bf8758f5f0c596b1,1,0,0,0,0.0,0.0,0.0,0.0,88998073,88998073
0x395e0d6c758aeaff3eca6f98161792060c78fbbc,1,0,0,0,0.0,0.0,0.0,0.0,87320505,87320505
0x3a87c19862d53c23b55556cbf65b539dac44db4a,2,0,0,0,0.0,0.0,0.0,0.0,86843809,88770743
0x3acaf3edb63000b615bee89ffb0effa997bcced8,38,3,0,4,0.0,0.105263,0.078947,11.3111,86758138,89243047
0x3b885ea784b9806aac267431fac70ea72162365e,1,0,0,0,0.0,0.0,0.0,0.0,88043143,88043143
0x3cb4dff559945d85ddd1bb75e00661fd325d3d7a,35,0,0,1,0.0,0.028571,0.0,18.0088,86751218,89205674
0x3d6b7a5e2110c3532833f6d8ed30116e7211a6f3,3,0,0,1,0.0,0.333333,0.0,17.3333,86920258,87991100
0x3d91cd5d63ab82b32ddf23703f83960322948b89,1,0,0,0,0.0,0.0,0.0,0.0,89059446,89059446
0x3dc47c21c1159d9e33dea9bdf111a19faedb6937,1,0,0,1,0.0,1.0,0.0,40.3906,86939146,86939146
0x3dd2236200b32176ef59fc9d93c93e4a47d61673,1,0,0,0,0.0,0.0,0.0,0.0,87842879,87842879
0x3e1ce7f6107e8ce6fe1d86fef5a82a2b74f88690,1,0,0,0,0.0,0.0,0.0,0.0,86906401,86906401
